created_at,text,Complaint,Type,exists
2017-12-28 21:34:45+00:00,Is there a way of skipping through the @FreeviewTV Play guide one page at a time on a TX-50EX700B please @PanasonicUK? Likewise of defaulting to HD where available? @panasonic #TV #Freeview #Panasonic,No,None,FALSE
2017-12-28 02:59:00+00:00,Check out New Panasonic KX-FA133 Replacement Film Factory Sealed Lot of 2 #Panasonic https://t.co/59euuQW0u6 via @eBay,No,None,FALSE
2017-12-25 03:54:18+00:00,"O Come Let us Adore Him ðŸŽ¶ â­ï¸ ðŸŽ„
 A Film From Nickolas Alexander
 Performance From Daniel Kerns
 âž–âž–âž–âž–âž–âž–âž–âž–âž–âž–âž–âž–
 #christmas #christmasmusic #navidad #christmascheer #love #film #performing #panasonic #ocomeletusadorehim #christmas2017 
 
 https://t.co/OlYMBxs3Gj",No,None,FALSE
2017-12-24 20:07:23+00:00,So sad to hate a company I liked so much #Panasonic India head needs an urgent replacement https://t.co/a6WIccsHoo,No,None,FALSE
2017-12-18 05:43:26+00:00,Horrible pathetic service from #Flipkart.Ordered #panasonic trimmer on #Flipkart and got cancelled after 10 days. Customer care is giving unjustified excuses.My faith on #Flipkart is https://t.co/two6q5bfpI are not fit for this service.,No,None,FALSE
2017-12-14 14:01:30+00:00,Check out FAULTY - PANASONIC LUMIX DMC-TZ3 7.2MP DIGITAL CAMERA - SILVER - UK SELLER #Panasonic https://t.co/WSyHh3z5pq via @eBay,No,None,FALSE
2017-12-14 11:15:03+00:00,"Today ,technology helps many people from doing their manual labor. So,replace that regular whiteboard to our electronic whiteboard. #Panaboard #panasonic #Manshabrothers https://t.co/11nOFaJBWs",No,None,FALSE
2017-12-11 20:16:27+00:00,Check out Panasonic PNLC1017 Cordless Phone Replacement Charger Hub - Black #Panasonic https://t.co/p3Mk4H1VM7 via @eBay,No,None,FALSE
2017-12-11 15:17:20+00:00,Received the replacement remorse from @PanaService_UK but it turns out that's not the issue but the soundbase itself. Be aware that this model has this issue. https://t.co/08XgBDDPVM #ProductReviews #soundbase #speaker #Panasonic,Yes,Product Complaint,FALSE
2017-12-07 16:20:54+00:00,"WARNING âš ï¸ - Donâ€™t buy #Panasonic #microwave ovens! Mom bought one few months ago. Door defective,returned under warranty. New one door defective in 5 Days! And,terrible customer service! #hassle #useless https://t.co/8DLJfU9YxH",Yes,Product Complaint,FALSE
2017-12-01 11:05:26+00:00,"On a budget &amp; need a new telephone system, maintenance spares or a system upgrade?
 
 NTE can oblige with reconditioned hardware. All equipment supplied with advanced replacement warranty.
 
 Major in #Avaya #Mitel &amp; #Panasonic 
 
 #Telecom #Telecoms #Hardware #Telephone #Engineer",No,None,FALSE
2017-12-01 10:11:22+00:00,@PanasonicIndia @_Manish_Sharma_ How many complaint number you want? Every time we filed got closed but the problem never solved.matter escalted to national head but still things are crawling like s**t. We have already paid lakhs of rupees but issued didnt solved. Not worth buying #Panasonic #Electronics,Yes,Service Complaint,TRUE
2017-11-29 17:00:10+00:00,Sharing more #wednesdaywisdom with a short #panasonic #Toughbook CF-53 #howto replace the handle.... https://t.co/9AOHApub3O,No,None,FALSE
2017-11-28 14:23:29+00:00,Check out New 2 Panasonic KX-FA133 Replacement Film Factory Sealed #Panasonic https://t.co/AHsE6XCCQW via @eBay,No,None,FALSE
2017-11-21 10:00:03+00:00,"Kazuhiro Tsuga,President,@panasonic meets IT Minister @rsprasad to discuss #panasonic's expansion in India,especially in the #manufacturing sector https://t.co/4CvePN71DR",No,None,FALSE
2017-11-19 02:12:50+00:00,I'm at a #wedding today. #videographer #video #videoproduction #camera #panasonic #DVX200â€¦ https://t.co/WFPCh91SAD,No,None,FALSE
2017-11-17 11:36:34+00:00,"2/- G eve @rsprasad Sir I had purchased a ""TWO IN ONE"" in 1985 (Detachable Speaker Cassette Player n Radio) of #Panasonic N it's still functioning,I listen ""MAN KI BAAT"" of Mr @narendramodi Sir even now,I wish under ""Make in India"" they make Long Lasting ""ELECRTIC VEHIVLES"" here https://t.co/Z3aUJEcXgh",No,None,FALSE
2017-11-17 11:25:26+00:00,"@rsprasad @panasonic @PanasonicIndia @mygovindia @GoI_MeitY @PIB_India @_DigitalIndia Heartiest Congratulations @rsprasad Sir #Panasonic is one of the Best Company,Electric Vehicles in India Absolutely essential,Very glad u r taking such path breaking initiatives even though I may not b responsible 4 Same,A true Soldier n Leader of India IT,Thanks Sir",No,None,FALSE
2017-11-17 10:16:15+00:00,"#Panasonic global head meets IT minister #RaviShankarPrasad, says bullish on India
 https://t.co/7ILqhqGAEx https://t.co/DXQBY1L4uJ",No,None,FALSE
2017-11-16 09:03:17+00:00,@_Manish_Sharma_ Humble request if you can ask someone heading service department to get in touch with me as all the other means to get In touch and get issues resolved isn't working out smooth. #panasonic #panasonicindia,Yes,Service Complaint,FALSE
2017-11-12 22:28:58+00:00,@PanasonicUK #combinationoven HELP! @PanasonicUK #panasonicsupport combi #microwaveoven NN-CT555W - approx 1-2 years old. Opened door to remove cooked food yesterday and it turned itself off. Replaced fuse but it hasnâ€™t worked since. HELP. Itâ€™s our only oven. 1st issue we had!,Yes,Service Complaint,TRUE
2017-11-12 22:20:39+00:00,@PanasonicUK #panasonicsupport combi microwave oven NN-CT555W - approx 1-2 years old. Opened door to remove cooked food yesterday and it turned itself off. Replaced fuse but it hasnâ€™t worked since. HELP. Itâ€™s our only oven :-( 1st issue we had! https://t.co/xDVkc1ebNz,Yes,Service Complaint,TRUE
2017-11-11 06:32:30+00:00,Why @PanasonicIndia refuse to serve for the product they sold even after customer is willing pay for the service. Poor experience so far. #panasonic,Yes,Service Complaint,TRUE
2017-11-09 04:55:20+00:00,@Panasonic_mob @PanasonicIndia after one month after 58 complain against fraud company no decision taken by company till date company not taking me seriously now consumer forum will see it bad experiance pathetic product fake company cheap service #panasonic fraud https://t.co/dulyoZ8uMh,Yes,Service Complaint,TRUE
2017-11-01 03:44:54+00:00,"Check out Kinamax Replacement #Charger and Car #Adapter for #Panasonic SDR-S26,SDR-SW21 https://t.co/pqc1Jq83E9 via @eBay",No,,FALSE
2017-10-31 16:39:30+00:00,"#Tesla Model 3 bottleneck confirmed to be at #Gigafactory 1,#Panasonic CEO says should be resolved soonâ€¼ï¸ https://t.co/0BaSEA1rNk $TSLA #EV https://t.co/slHaSsieDC",No,,FALSE
2017-10-31 06:15:59+00:00,@panasonic_mob @panasonic @narendramodi @irvpaswan i am requesting #panasonic to replace my phone already wainting from 23 days please help https://t.co/MHt73zLzgI,Yes,Service Complaint,FALSE
2017-10-30 12:54:25+00:00,@panasonic_mob @panasonic no resposiblity taken by company very poor service by any company i suggest people not to buy #panasonic product,Yes,Service Complaint,TRUE
2017-10-30 12:51:03+00:00,@panasonic_mob @panasonic still no update of my phone .when will i get my phone very cheap company fake product pathetic service #panasonic https://t.co/cm5U9L6N40,Yes,Service Complaint,FALSE
2017-10-28 02:00:32+00:00,Check out New 2 Panasonic KX-FA133 Replacement Film Factory Sealed #Panasonic https://t.co/cXbYC2fFsk via @eBay,No,None,FALSE
2017-10-23 11:57:26+00:00,Bought smartphone #PANASONIC through #Amazon now not working and no service center #useless #onlinefraud @amazon,No,None,FALSE
2017-10-21 08:13:12+00:00,@amznind bought #panasonic tv for my family member in ur diwali offer gt defective piece -motherboard fault being asked to pay.Ridiculous,No,None,FALSE
2017-10-21 01:55:44+00:00,"This is some sad #Olympus #m43 famboy,disgusted with rival brands... they even hate #Panasonic,who is a M43 partner... Sad. https://t.co/0NB4dHk4Lu",No,None,FALSE
2017-10-20 00:05:36+00:00,#PANASONIC #RanbirKapoor This is not good... Just not good... https://t.co/15elhAhTa4,No,None,FALSE
